Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
Midlands  Commissioning Region,RL4,The Royal Wolverhampton NHS Trust,28,16,57.10%,28,21,75.00%,28,21,75.00%,28,20,71.40%,28,20,71.40%,28,19,67.90%,28,19,67.90%,28,16,57.10%,28,21,75.00%,28,17,60.70%,28,16,57.10%,28,22,78.60%,28,18,64.30%,28,19,67.90%,28,22,78.60%,28,22,78.60%,28,21,75.00%,28,19,67.90%,28,0,0.00%,28,0,0.00%,28,0,0.00%,28,17,60.70%,28,17,60.70%,28,12,42.90%,29,12,41.40%,29,11,37.90%,29,16,55.20%,29,16,55.20%,29,16,55.20%,29,15,51.70%,29,17,58.60%,29,17,58.60%,29,19,65.50%,29,19,65.50%,29,18,62.10%,28,20,71.40%,28,21,75.00%,28,20,71.40%,28,25,89.30%,29,23,79.30%,29,21,72.40%,28,20,71.40%,28,22,78.60%,28,21,75.00%,28,20,71.40%,28,22,78.60%,28,20,71.40%,28,17,60.70%,28,19,67.90%,28,19,67.90%,28,23,82.10%,28,22,78.60%,28,19,67.90%,28,18,64.30%,28,18,64.30%,28,17,60.70%,28,19,67.90%,28,20,71.40%,28,19,67.90%,28,19,67.90%,28,14,50.00%,28,13,46.40%,28,17,60.70%,28,17,60.70%,28,24,85.70%,28,23,82.10%,28,21,75.00%,28,20,71.40%,28,16,57.10%,28,19,67.90%,28,21,75.00%,28,18,64.30%,28,23,82.10%,28,21,75.00%,28,19,67.90%,28,16,57.10%,28,18,64.30%,28,16,57.10%,28,17,60.70%,28,22,78.60%,28,21,75.00%,28,18,64.30%,28,16,57.10%,28,16,57.10%,28,17,60.70%,28,16,57.10%,28,18,64.30%,28,18,64.30%,28,18,64.30%,28,16,57.10%,28,16,57.10%
Midlands  Commissioning Region,RRK,University Hospitals Birmingham NHS Foundation Trust,100,94,94.00%,98,92,93.90%,99,99,100.00%,99,89,89.90%,94,84,89.40%,96,87,90.60%,97,87,89.70%,95,92,96.80%,100,94,94.00%,95,91,95.80%,95,92,96.80%,92,81,88.00%,92,60,65.20%,92,62,67.40%,93,79,84.90%,97,92,94.80%,95,88,92.60%,89,81,91.00%,89,81,91.00%,84,76,90.50%,90,80,88.90%,85,83,97.60%,83,74,89.20%,84,76,90.50%,85,75,88.20%,89,80,89.90%,90,80,88.90%,85,84,98.80%,89,59,66.30%,92,85,92.40%,93,91,97.80%,98,96,98.00%,96,67,69.80%,100,68,68.00%,100,98,98.00%,95,89,93.70%,93,92,98.90%,97,64,66.00%,96,90,93.80%,96,91,94.80%,96,86,89.60%,94,83,88.30%,90,77,85.60%,91,81,89.00%,97,90,92.80%,101,93,92.10%,97,86,88.70%,98,86,87.80%,97,80,82.50%,92,71,77.20%,93,79,84.90%,95,87,91.60%,100,96,96.00%,99,93,93.90%,93,88,94.60%,91,87,95.60%,92,82,89.10%,94,80,85.10%,94,88,93.60%,61,61,100.00%,95,84,88.40%,93,87,93.50%,97,84,86.60%,97,82,84.50%,99,90,90.90%,96,89,92.70%,99,91,91.90%,92,83,90.20%,90,85,94.40%,89,82,92.10%,93,80,86.00%,96,88,91.70%,93,90,96.80%,96,93,96.90%,95,90,94.70%,88,81,92.00%,90,80,88.90%,91,78,85.70%,92,84,91.30%,95,83,87.40%,97,95,97.90%,96,91,94.80%,97,88,90.70%,94,83,88.30%,94,87,92.60%,100,95,95.00%,100,90,90.00%,99,92,92.90%,96,87,90.60%,95,85,89.50%,95,90,94.70%
Midlands  Commissioning Region,RKB,University Hospitals Coventry and Warwickshire NHS Trust,37,34,91.90%,37,36,97.30%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,36,97.30%,37,36,97.30%,37,34,91.90%,37,35,94.60%,37,36,97.30%,37,36,97.30%,37,36,97.30%,37,34,91.90%,37,33,89.20%,37,33,89.20%,37,37,100.00%,37,36,97.30%,37,37,100.00%,37,37,100.00%,37,37,100.00%,37,37,100.00%,37,36,97.30%,37,36,97.30%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,34,91.90%,37,34,91.90%,37,34,91.90%,37,36,97.30%,37,36,97.30%,37,37,100.00%,37,37,100.00%,37,35,94.60%,37,36,97.30%,37,35,94.60%,37,36,97.30%,37,36,97.30%,37,37,100.00%,37,34,91.90%,37,35,94.60%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,36,97.30%,37,35,94.60%,37,34,91.90%,37,37,100.00%,37,34,91.90%,37,34,91.90%,37,35,94.60%,37,34,91.90%,37,36,97.30%,37,35,94.60%,37,36,97.30%,37,35,94.60%,37,37,100.00%,37,37,100.00%,37,36,97.30%,37,37,100.00%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,35,94.60%,37,35,94.60%,37,36,97.30%,37,37,100.00%,37,35,94.60%,37,36,97.30%,37,37,100.00%,37,35,94.60%,37,33,89.20%,37,35,94.60%,37,34,91.90%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,34,91.90%,37,36,97.30%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,35,94.60%,37,37,100.00%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,36,97.30%,37,35,94.60%,37,35,94.60%,37,36,97.30%
Midlands  Commissioning Region,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,55,44,80.00%,55,45,81.80%,55,46,83.60%,55,42,76.40%,55,39,70.90%,55,39,70.90%,55,40,72.70%,55,42,76.40%,55,41,74.50%,55,43,78.20%,55,44,80.00%,55,38,69.10%,55,35,63.60%,55,45,81.80%,55,49,89.10%,55,46,83.60%,55,42,76.40%,55,45,81.80%,55,43,78.20%,55,38,69.10%,55,40,72.70%,55,41,74.50%,55,41,74.50%,55,36,65.50%,55,38,69.10%,55,40,72.70%,55,39,70.90%,55,35,63.60%,55,40,72.70%,55,41,74.50%,55,39,70.90%,55,48,87.30%,55,46,83.60%,55,46,83.60%,55,45,81.80%,55,43,78.20%,55,46,83.60%,55,47,85.50%,55,49,89.10%,55,44,80.00%,55,39,70.90%,55,42,76.40%,55,41,74.50%,55,41,74.50%,55,33,60.00%,55,33,60.00%,55,34,61.80%,55,33,60.00%,55,35,63.60%,55,30,54.50%,55,35,63.60%,55,41,74.50%,55,42,76.40%,55,32,58.20%,55,30,54.50%,55,37,67.30%,55,40,72.70%,55,46,83.60%,55,43,78.20%,55,39,70.90%,55,39,70.90%,55,36,65.50%,55,43,78.20%,55,46,83.60%,55,44,80.00%,55,48,87.30%,55,45,81.80%,55,38,69.10%,55,34,61.80%,55,39,70.90%,55,42,76.40%,55,42,76.40%,55,42,76.40%,55,39,70.90%,55,40,72.70%,55,38,69.10%,55,36,65.50%,55,35,63.60%,55,36,65.50%,55,36,65.50%,55,39,70.90%,55,34,61.80%,55,35,63.60%,55,38,69.10%,55,35,63.60%,55,43,78.20%,55,46,83.60%,55,41,74.50%,55,41,74.50%,55,42,76.40%,55,41,74.50%
Midlands  Commissioning Region,RWE,University Hospitals of Leicester NHS Trust,81,56,69.10%,81,58,71.60%,81,62,76.50%,81,59,72.80%,81,58,71.60%,81,53,65.40%,81,53,65.40%,81,58,71.60%,81,60,74.10%,81,59,72.80%,81,62,76.50%,81,62,76.50%,81,57,70.40%,81,52,64.20%,81,61,75.30%,81,58,71.60%,81,58,71.60%,81,56,69.10%,81,60,74.10%,81,54,66.70%,81,49,60.50%,81,60,74.10%,81,53,65.40%,81,43,53.10%,81,43,53.10%,81,53,65.40%,81,43,53.10%,81,43,53.10%,81,51,63.00%,81,45,55.60%,81,41,50.60%,81,55,67.90%,81,53,65.40%,81,51,63.00%,81,54,66.70%,81,58,71.60%,81,59,72.80%,81,59,72.80%,81,57,70.40%,81,60,74.10%,81,56,69.10%,81,53,65.40%,81,55,67.90%,81,60,74.10%,81,58,71.60%,81,57,70.40%,81,54,66.70%,81,52,64.20%,81,52,64.20%,81,60,74.10%,81,61,75.30%,81,61,75.30%,81,60,74.10%,81,59,72.80%,81,57,70.40%,81,52,64.20%,81,58,71.60%,81,60,74.10%,81,63,77.80%,81,61,75.30%,81,58,71.60%,81,53,65.40%,81,52,64.20%,81,56,69.10%,81,63,77.80%,81,57,70.40%,81,61,75.30%,81,62,76.50%,81,55,67.90%,81,50,61.70%,81,61,75.30%,81,57,70.40%,81,63,77.80%,81,67,82.70%,81,58,71.60%,81,54,66.70%,81,50,61.70%,81,57,70.40%,81,57,70.40%,81,58,71.60%,81,66,81.50%,81,62,76.50%,81,58,71.60%,81,56,69.10%,81,60,74.10%,81,59,72.80%,81,65,80.20%,81,58,71.60%,81,60,74.10%,81,50,61.70%,81,53,65.40%
Midlands  Commissioning Region,RJE,University Hospitals of North Midlands NHS Trust,82,71,86.60%,82,73,89.00%,82,73,89.00%,82,74,90.20%,82,72,87.80%,82,72,87.80%,82,72,87.80%,82,75,91.50%,82,77,93.90%,82,73,89.00%,82,75,91.50%,82,74,90.20%,82,75,91.50%,82,73,89.00%,82,73,89.00%,82,70,85.40%,82,71,86.60%,82,73,89.00%,82,72,87.80%,82,69,84.10%,82,63,76.80%,82,61,74.40%,82,59,72.00%,82,60,73.20%,82,64,78.00%,82,61,74.40%,82,63,76.80%,82,62,75.60%,82,61,74.40%,82,63,76.80%,82,69,84.10%,82,70,85.40%,82,73,89.00%,82,75,91.50%,82,70,85.40%,82,69,84.10%,82,72,87.80%,82,73,89.00%,82,74,90.20%,82,74,90.20%,82,74,90.20%,82,72,87.80%,82,74,90.20%,82,76,92.70%,82,74,90.20%,82,80,97.60%,82,73,89.00%,82,71,86.60%,82,65,79.30%,82,62,75.60%,82,68,82.90%,82,64,78.00%,82,66,80.50%,82,71,86.60%,82,71,86.60%,82,74,90.20%,82,75,91.50%,82,73,89.00%,82,70,85.40%,82,68,82.90%,82,69,84.10%,82,67,81.70%,82,67,81.70%,82,76,92.70%,82,74,90.20%,82,65,79.30%,82,67,81.70%,82,68,82.90%,82,65,79.30%,82,70,85.40%,82,69,84.10%,82,68,82.90%,82,71,86.60%,82,70,85.40%,82,68,82.90%,82,69,84.10%,82,69,84.10%,82,70,85.40%,82,72,87.80%,82,75,91.50%,82,74,90.20%,82,80,97.60%,82,75,91.50%,82,74,90.20%,82,73,89.00%,82,74,90.20%,82,76,92.70%,82,77,93.90%,82,76,92.70%,82,73,89.00%,82,69,84.10%
Midlands  Commissioning Region,RWD,United Lincolnshire Hospitals NHS Trust,31,18,58.10%,31,20,64.50%,33,22,66.70%,32,22,68.80%,31,22,71.00%,32,23,71.90%,31,24,77.40%,32,24,75.00%,31,22,71.00%,32,28,87.50%,31,27,87.10%,32,27,84.40%,32,25,78.10%,33,23,69.70%,32,21,65.60%,33,25,75.80%,31,22,71.00%,31,27,87.10%,31,26,83.90%,32,24,75.00%,31,21,67.70%,32,23,71.90%,31,22,71.00%,31,20,64.50%,31,25,80.60%,31,24,77.40%,31,25,80.60%,32,26,81.30%,33,28,84.80%,32,25,78.10%,33,24,72.70%,33,25,75.80%,32,25,78.10%,32,23,71.90%,32,24,75.00%,33,27,81.80%,31,25,80.60%,31,24,77.40%,31,25,80.60%,31,22,71.00%,31,23,74.20%,31,23,74.20%,32,24,75.00%,33,25,75.80%,32,26,81.30%,31,22,71.00%,31,22,71.00%,31,21,67.70%,31,23,74.20%,31,23,74.20%,31,24,77.40%,32,25,78.10%,31,30,96.80%,31,22,71.00%,31,22,71.00%,31,23,74.20%,31,25,80.60%,31,25,80.60%,31,24,77.40%,31,24,77.40%,31,25,80.60%,31,26,83.90%,31,21,67.70%,31,21,67.70%,31,20,64.50%,31,21,67.70%,31,22,71.00%,31,23,74.20%,31,21,67.70%,31,22,71.00%,31,25,80.60%,33,25,75.80%,31,25,80.60%,31,21,67.70%,31,21,67.70%,31,20,64.50%,31,22,71.00%,31,24,77.40%,31,23,74.20%,32,26,81.30%,32,26,81.30%,33,25,75.80%,33,22,66.70%,31,21,67.70%,33,23,69.70%,33,22,66.70%,33,24,72.70%,32,24,75.00%,32,24,75.00%,32,21,65.60%,31,18,58.10%
Midlands  Commissioning Region,RBK,Walsall Healthcare NHS Trust,13,13,100.00%,13,13,100.00%,13,13,100.00%,13,12,92.30%,13,10,76.90%,13,11,84.60%,13,13,100.00%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,12,92.30%,13,11,84.60%,13,9,69.20%,13,13,100.00%,13,13,100.00%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,13,100.00%,13,13,100.00%,13,13,100.00%,13,13,100.00%,13,12,92.30%,13,9,69.20%,13,10,76.90%,13,9,69.20%,13,11,84.60%,13,11,84.60%,13,12,92.30%,13,13,100.00%,13,12,92.30%,13,10,76.90%,13,9,69.20%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,11,84.60%,13,10,76.90%,13,11,84.60%,13,10,76.90%,13,11,84.60%,13,11,84.60%,13,11,84.60%,13,12,92.30%,13,11,84.60%,13,10,76.90%,13,10,76.90%,13,12,92.30%,13,13,100.00%,13,12,92.30%,13,12,92.30%,14,14,100.00%,13,11,84.60%,13,12,92.30%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,9,69.20%,13,13,100.00%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,11,84.60%,13,10,76.90%,13,10,76.90%,13,12,92.30%,13,11,84.60%,13,12,92.30%,13,12,92.30%,13,12,92.30%,13,10,76.90%,13,11,84.60%,13,12,92.30%,13,11,84.60%,13,10,76.90%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,9,69.20%,13,10,76.90%,13,11,84.60%,13,11,84.60%,13,12,92.30%,13,13,100.00%,13,13,100.00%,13,12,92.30%,13,6,46.20%,13,7,53.80%,13,9,69.20%
Midlands  Commissioning Region,RWP,Worcestershire Acute Hospitals NHS Trust,23,21,91.30%,23,19,82.60%,23,20,87.00%,23,20,87.00%,23,20,87.00%,23,18,78.30%,23,21,91.30%,23,15,65.20%,23,21,91.30%,23,19,82.60%,23,21,91.30%,23,21,91.30%,23,22,95.70%,23,20,87.00%,23,21,91.30%,23,21,91.30%,23,21,91.30%,23,22,95.70%,23,20,87.00%,23,18,78.30%,23,17,73.90%,23,21,91.30%,23,15,65.20%,23,20,87.00%,23,21,91.30%,23,23,100.00%,23,21,91.30%,23,21,91.30%,23,21,91.30%,23,22,95.70%,23,23,100.00%,23,23,100.00%,23,21,91.30%,23,21,91.30%,23,20,87.00%,23,22,95.70%,23,23,100.00%,23,22,95.70%,23,23,100.00%,23,20,87.00%,23,21,91.30%,23,22,95.70%,23,22,95.70%,23,22,95.70%,23,22,95.70%,23,23,100.00%,23,18,78.30%,23,18,78.30%,23,19,82.60%,23,23,100.00%,23,23,100.00%,23,21,91.30%,23,20,87.00%,23,21,91.30%,23,20,87.00%,23,21,91.30%,23,21,91.30%,23,22,95.70%,23,20,87.00%,23,18,78.30%,23,21,91.30%,23,18,78.30%,23,21,91.30%,23,22,95.70%,23,19,82.60%,23,15,65.20%,23,19,82.60%,23,20,87.00%,23,22,95.70%,23,15,65.20%,23,20,87.00%,23,20,87.00%,23,16,69.60%,23,22,95.70%,23,18,78.30%,23,20,87.00%,23,19,82.60%,23,20,87.00%,23,21,91.30%,23,19,82.60%,23,17,73.90%,23,18,78.30%,23,18,78.30%,23,17,73.90%,23,19,82.60%,23,20,87.00%,23,17,73.90%,23,18,78.30%,23,18,78.30%,23,21,91.30%,23,17,73.90%
Midlands  Commissioning Region,RLQ,Wye Valley NHS Trust,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,4,66.70%,6,3,50.00%,6,4,66.70%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,5,83.30%,6,5,83.30%,6,5,83.30%,6,5,83.30%,6,4,66.70%,6,3,50.00%,6,4,66.70%,6,4,66.70%,6,5,83.30%,6,4,66.70%,6,5,83.30%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,4,66.70%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,5,83.30%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,6,100.00%,6,3,50.00%,6,4,66.70%,6,2,33.30%,6,4,66.70%,6,3,50.00%,6,4,66.70%,6,6,100.00%,6,3,50.00%,6,3,50.00%,6,5,83.30%,6,6,100.00%,6,3,50.00%,6,3,50.00%,6,2,33.30%,6,2,33.30%,6,4,66.70%,6,3,50.00%,6,4,66.70%
North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,5,71.40%,7,5,71.40%,7,6,85.70%,7,7,100.00%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,5,71.40%,7,5,71.40%,7,7,100.00%,7,5,71.40%,7,5,71.40%,7,7,100.00%,7,5,71.40%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,7,100.00%,7,6,85.70%,7,7,100.00%,7,4,57.10%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,7,100.00%,7,7,100.00%,7,6,85.70%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,6,85.70%,7,5,71.40%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,6,85.70%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,6,85.70%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,4,57.10%,7,5,71.40%,7,4,57.10%,7,4,57.10%,7,5,71.40%,7,4,57.10%,7,4,57.10%,7,7,100.00%,7,5,71.40%,7,6,85.70%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,7,100.00%,7,7,100.00%,7,4,57.10%,7,7,100.00%,7,4,57.10%,7,4,57.10%,7,4,57.10%
North East and Yorkshire Commissioning Region,RFF,Barnsley Hospital NHS Foundation Trust,11,11,100.00%,11,11,100.00%,11,9,81.80%,11,7,63.60%,11,9,81.80%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,9,81.80%,11,11,100.00%,11,7,63.60%,11,9,81.80%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,9,81.80%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,10,90.90%,11,9,81.80%,11,8,72.70%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,9,81.80%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,8,72.70%,11,9,81.80%,11,10,90.90%,11,9,81.80%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,9,81.80%,11,9,81.80%,11,10,90.90%,11,10,90.90%,11,8,72.70%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,10,90.90%,11,8,72.70%,11,6,54.50%,0,0,-,11,5,45.50%,11,7,63.60%,11,9,81.80%,11,9,81.80%,11,10,90.90%,11,10,90.90%,11,11,100.00%,11,10,90.90%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,8,72.70%,11,8,72.70%,11,9,81.80%,11,10,90.90%,11,6,54.50%
