Code,Name,CC Adult Open_43437,CC Adult Occ_43437,Occupancy rate_43437,CC Adult Open_43438,CC Adult Occ_43438,Occupancy rate_43438,CC Adult Open_43439,CC Adult Occ_43439,Occupancy rate_43439,CC Adult Open_43440,CC Adult Occ_43440,Occupancy rate_43440,CC Adult Open_43441,CC Adult Occ_43441,Occupancy rate_43441,CC Adult Open_43442,CC Adult Occ_43442,Occupancy rate_43442,CC Adult Open_43443,CC Adult Occ_43443,Occupancy rate_43443,CC Adult Open_43444,CC Adult Occ_43444,Occupancy rate_43444,CC Adult Open_43445,CC Adult Occ_43445,Occupancy rate_43445,CC Adult Open_43446,CC Adult Occ_43446,Occupancy rate_43446,CC Adult Open_43447,CC Adult Occ_43447,Occupancy rate_43447,CC Adult Open_43448,CC Adult Occ_43448,Occupancy rate_43448,CC Adult Open_43449,CC Adult Occ_43449,Occupancy rate_43449,CC Adult Open_43450,CC Adult Occ_43450,Occupancy rate_43450,CC Adult Open_43451,CC Adult Occ_43451,Occupancy rate_43451,CC Adult Open_43452,CC Adult Occ_43452,Occupancy rate_43452,CC Adult Open_43453,CC Adult Occ_43453,Occupancy rate_43453,CC Adult Open_43454,CC Adult Occ_43454,Occupancy rate_43454,CC Adult Open_43455,CC Adult Occ_43455,Occupancy rate_43455,CC Adult Open_43456,CC Adult Occ_43456,Occupancy rate_43456,CC Adult Open_43457,CC Adult Occ_43457,Occupancy rate_43457,CC Adult Open_43458,CC Adult Occ_43458,Occupancy rate_43458,CC Adult Open_43459,CC Adult Occ_43459,Occupancy rate_43459,CC Adult Open_43460,CC Adult Occ_43460,Occupancy rate_43460,CC Adult Open_43461,CC Adult Occ_43461,Occupancy rate_43461,CC Adult Open_43462,CC Adult Occ_43462,Occupancy rate_43462,CC Adult Open_43463,CC Adult Occ_43463,Occupancy rate_43463,CC Adult Open_43464,CC Adult Occ_43464,Occupancy rate_43464,CC Adult Open_43465,CC Adult Occ_43465,Occupancy rate_43465,CC Adult Open_43466,CC Adult Occ_43466,Occupancy rate_43466,CC Adult Open_43467,CC Adult Occ_43467,Occupancy rate_43467,CC Adult Open_43468,CC Adult Occ_43468,Occupancy rate_43468,CC Adult Open_43469,CC Adult Occ_43469,Occupancy rate_43469,CC Adult Open_43470,CC Adult Occ_43470,Occupancy rate_43470,CC Adult Open_43471,CC Adult Occ_43471,Occupancy rate_43471,CC Adult Open_43472,CC Adult Occ_43472,Occupancy rate_43472,CC Adult Open_43473,CC Adult Occ_43473,Occupancy rate_43473,CC Adult Open_43474,CC Adult Occ_43474,Occupancy rate_43474,CC Adult Open_43475,CC Adult Occ_43475,Occupancy rate_43475,CC Adult Open_43476,CC Adult Occ_43476,Occupancy rate_43476,CC Adult Open_43477,CC Adult Occ_43477,Occupancy rate_43477,CC Adult Open_43478,CC Adult Occ_43478,Occupancy rate_43478,CC Adult Open_43479,CC Adult Occ_43479,Occupancy rate_43479,CC Adult Open_43480,CC Adult Occ_43480,Occupancy rate_43480,CC Adult Open_43481,CC Adult Occ_43481,Occupancy rate_43481,CC Adult Open_43482,CC Adult Occ_43482,Occupancy rate_43482,CC Adult Open_43483,CC Adult Occ_43483,Occupancy rate_43483,CC Adult Open_43484,CC Adult Occ_43484,Occupancy rate_43484,CC Adult Open_43485,CC Adult Occ_43485,Occupancy rate_43485,CC Adult Open_43486,CC Adult Occ_43486,Occupancy rate_43486,CC Adult Open_43487,CC Adult Occ_43487,Occupancy rate_43487,CC Adult Open_43488,CC Adult Occ_43488,Occupancy rate_43488,CC Adult Open_43489,CC Adult Occ_43489,Occupancy rate_43489,CC Adult Open_43490,CC Adult Occ_43490,Occupancy rate_43490,CC Adult Open_43491,CC Adult Occ_43491,Occupancy rate_43491,CC Adult Open_43492,CC Adult Occ_43492,Occupancy rate_43492,CC Adult Open_43493,CC Adult Occ_43493,Occupancy rate_43493,CC Adult Open_43494,CC Adult Occ_43494,Occupancy rate_43494,CC Adult Open_43495,CC Adult Occ_43495,Occupancy rate_43495,CC Adult Open_43496,CC Adult Occ_43496,Occupancy rate_43496,CC Adult Open_43497,CC Adult Occ_43497,Occupancy rate_43497,CC Adult Open_43498,CC Adult Occ_43498,Occupancy rate_43498,CC Adult Open_43499,CC Adult Occ_43499,Occupancy rate_43499,CC Adult Open_43500,CC Adult Occ_43500,Occupancy rate_43500,CC Adult Open_43501,CC Adult Occ_43501,Occupancy rate_43501,CC Adult Open_43502,CC Adult Occ_43502,Occupancy rate_43502,CC Adult Open_43503,CC Adult Occ_43503,Occupancy rate_43503,CC Adult Open_43504,CC Adult Occ_43504,Occupancy rate_43504,CC Adult Open_43505,CC Adult Occ_43505,Occupancy rate_43505,CC Adult Open_43506,CC Adult Occ_43506,Occupancy rate_43506,CC Adult Open_43507,CC Adult Occ_43507,Occupancy rate_43507,CC Adult Open_43508,CC Adult Occ_43508,Occupancy rate_43508,CC Adult Open_43509,CC Adult Occ_43509,Occupancy rate_43509,CC Adult Open_43510,CC Adult Occ_43510,Occupancy rate_43510,CC Adult Open_43511,CC Adult Occ_43511,Occupancy rate_43511,CC Adult Open_43512,CC Adult Occ_43512,Occupancy rate_43512,CC Adult Open_43513,CC Adult Occ_43513,Occupancy rate_43513,CC Adult Open_43514,CC Adult Occ_43514,Occupancy rate_43514,CC Adult Open_43515,CC Adult Occ_43515,Occupancy rate_43515,CC Adult Open_43516,CC Adult Occ_43516,Occupancy rate_43516,CC Adult Open_43517,CC Adult Occ_43517,Occupancy rate_43517,CC Adult Open_43518,CC Adult Occ_43518,Occupancy rate_43518,CC Adult Open_43519,CC Adult Occ_43519,Occupancy rate_43519,CC Adult Open_43520,CC Adult Occ_43520,Occupancy rate_43520,CC Adult Open_43521,CC Adult Occ_43521,Occupancy rate_43521,CC Adult Open_43522,CC Adult Occ_43522,Occupancy rate_43522,CC Adult Open_43523,CC Adult Occ_43523,Occupancy rate_43523,CC Adult Open_43524,CC Adult Occ_43524,Occupancy rate_43524,CC Adult Open_43525,CC Adult Occ_43525,Occupancy rate_43525,CC Adult Open_43526,CC Adult Occ_43526,Occupancy rate_43526,CC Adult Open_43527,CC Adult Occ_43527,Occupancy rate_43527
RKB,University Hospitals Coventry and Warwickshire NHS Trust,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,37,100.0%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,35,94.6%,37,35,94.6%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,35,94.6%,37,34,91.9%,37,25,67.6%,37,34,91.9%,37,33,89.2%,37,33,89.2%,37,36,97.3%,37,35,94.6%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,37,100.0%,37,37,100.0%,37,37,100.0%,37,35,94.6%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,35,94.6%,37,35,94.6%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,37,100.0%,37,34,91.9%,37,35,94.6%,37,36,97.3%,37,37,100.0%,37,37,100.0%,37,34,91.9%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,34,91.9%,37,34,91.9%,37,35,94.6%,37,35,94.6%,37,36,97.3%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,35,94.6%,37,36,97.3%,37,37,100.0%,37,36,97.3%,37,36,97.3%,37,36,97.3%,37,35,94.6%,37,37,100.0%,37,36,97.3%,37,35,94.6%,37,35,94.6%,37,35,94.6%,37,35,94.6%,37,35,94.6%,37,35,94.6%,37,36,97.3%,37,36,97.3%,37,34,91.9%,37,34,91.9%,37,36,97.3%
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,55,34,61.8%,55,35,63.6%,55,33,60.0%,55,34,61.8%,55,32,58.2%,55,27,49.1%,55,33,60.0%,55,35,63.6%,55,35,63.6%,55,34,61.8%,55,31,56.4%,55,32,58.2%,55,32,58.2%,55,31,56.4%,55,41,74.5%,55,33,60.0%,55,41,74.5%,55,45,81.8%,55,37,67.3%,55,38,69.1%,55,31,56.4%,55,35,63.6%,55,36,65.5%,55,37,67.3%,55,39,70.9%,55,38,69.1%,55,38,69.1%,55,48,87.3%,55,43,78.2%,55,39,70.9%,55,40,72.7%,55,33,60.0%,55,39,70.9%,55,42,76.4%,55,37,67.3%,55,43,78.2%,55,44,80.0%,55,46,83.6%,55,43,78.2%,55,44,80.0%,55,40,72.7%,55,44,80.0%,55,50,90.9%,55,48,87.3%,55,43,78.2%,55,48,87.3%,55,45,81.8%,55,44,80.0%,55,41,74.5%,55,43,78.2%,55,43,78.2%,55,45,81.8%,55,44,80.0%,55,44,80.0%,55,42,76.4%,55,41,74.5%,55,38,69.1%,55,45,81.8%,55,47,85.5%,55,45,81.8%,55,42,76.4%,55,42,76.4%,55,41,74.5%,55,40,72.7%,55,40,72.7%,55,45,81.8%,55,41,74.5%,55,43,78.2%,55,38,69.1%,55,35,63.6%,55,43,78.2%,55,42,76.4%,55,46,83.6%,55,39,70.9%,55,42,76.4%,55,39,70.9%,55,40,72.7%,55,46,83.6%,55,47,85.5%,55,45,81.8%,55,43,78.2%,55,38,69.1%,55,40,72.7%,55,39,70.9%,55,43,78.2%,55,41,74.5%,55,39,70.9%,55,38,69.1%,55,33,60.0%,55,31,56.4%,55,30,54.5%
RWE,University Hospitals of Leicester NHS Trust,81,55,67.9%,81,62,76.5%,81,59,72.8%,81,58,71.6%,81,57,70.4%,81,52,64.2%,81,48,59.3%,81,60,74.1%,81,57,70.4%,81,61,75.3%,81,57,70.4%,81,60,74.1%,81,58,71.6%,81,53,65.4%,81,60,74.1%,81,64,79.0%,81,60,74.1%,81,58,71.6%,81,54,66.7%,81,51,63.0%,81,49,60.5%,81,56,69.1%,81,54,66.7%,81,52,64.2%,81,64,79.0%,81,58,71.6%,81,52,64.2%,81,52,64.2%,81,57,70.4%,81,54,66.7%,81,59,72.8%,81,64,79.0%,81,66,81.5%,81,63,77.8%,81,59,72.8%,81,61,75.3%,81,69,85.2%,81,62,76.5%,81,58,71.6%,81,58,71.6%,81,49,60.5%,81,51,63.0%,81,62,76.5%,81,62,76.5%,81,60,74.1%,81,57,70.4%,81,57,70.4%,81,51,63.0%,81,51,63.0%,81,55,67.9%,81,59,72.8%,81,63,77.8%,81,61,75.3%,81,63,77.8%,81,63,77.8%,81,52,64.2%,81,56,69.1%,81,55,67.9%,81,67,82.7%,81,59,72.8%,81,60,74.1%,81,56,69.1%,81,53,65.4%,81,55,67.9%,81,61,75.3%,81,64,79.0%,81,58,71.6%,81,61,75.3%,81,51,63.0%,81,51,63.0%,81,52,64.2%,81,59,72.8%,81,57,70.4%,81,60,74.1%,81,59,72.8%,81,54,66.7%,81,53,65.4%,81,54,66.7%,81,58,71.6%,81,56,69.1%,81,59,72.8%,81,56,69.1%,81,52,64.2%,81,53,65.4%,81,59,72.8%,81,56,69.1%,81,61,75.3%,81,56,69.1%,81,51,63.0%,81,48,59.3%,81,48,59.3%
RJE,University Hospitals of North Midlands NHS Trust,80,69,86.3%,80,76,95.0%,80,77,96.3%,80,68,85.0%,80,68,85.0%,80,66,82.5%,80,67,83.8%,81,73,90.1%,80,67,83.8%,80,66,82.5%,80,66,82.5%,80,72,90.0%,80,69,86.3%,80,73,91.3%,80,70,87.5%,80,72,90.0%,80,68,85.0%,80,72,90.0%,80,68,85.0%,80,73,91.3%,80,68,85.0%,80,66,82.5%,80,65,81.3%,80,66,82.5%,80,66,82.5%,80,68,85.0%,80,69,86.3%,80,68,85.0%,80,67,83.8%,80,70,87.5%,80,66,82.5%,82,66,80.5%,82,69,84.1%,82,66,80.5%,82,68,82.9%,82,70,85.4%,82,74,90.2%,82,70,85.4%,82,70,85.4%,82,73,89.0%,82,69,84.1%,82,70,85.4%,82,71,86.6%,82,74,90.2%,82,73,89.0%,82,71,86.6%,82,76,92.7%,82,68,82.9%,82,67,81.7%,82,71,86.6%,82,71,86.6%,82,70,85.4%,82,71,86.6%,82,71,86.6%,82,66,80.5%,82,72,87.8%,82,73,89.0%,82,71,86.6%,82,72,87.8%,82,70,85.4%,82,71,86.6%,82,73,89.0%,82,74,90.2%,82,70,85.4%,82,72,87.8%,82,73,89.0%,82,73,89.0%,82,72,87.8%,82,69,84.1%,82,69,84.1%,82,71,86.6%,82,76,92.7%,82,76,92.7%,82,75,91.5%,82,76,92.7%,82,72,87.8%,82,69,84.1%,82,68,82.9%,82,68,82.9%,82,66,80.5%,82,66,80.5%,82,69,84.1%,82,69,84.1%,82,63,76.8%,82,64,78.0%,82,71,86.6%,83,76,91.6%,82,72,87.8%,82,72,87.8%,82,66,80.5%,82,66,80.5%
RBK,Walsall Healthcare NHS Trust,13,11,84.6%,13,10,76.9%,13,9,69.2%,13,9,69.2%,13,8,61.5%,13,9,69.2%,13,9,69.2%,13,11,84.6%,13,11,84.6%,13,12,92.3%,13,12,92.3%,13,13,100.0%,13,12,92.3%,13,13,100.0%,13,13,100.0%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,11,84.6%,13,11,84.6%,13,13,100.0%,14,14,100.0%,13,12,92.3%,13,12,92.3%,13,11,84.6%,13,10,76.9%,13,12,92.3%,13,12,92.3%,13,13,100.0%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,11,84.6%,13,11,84.6%,13,12,92.3%,13,13,100.0%,13,10,76.9%,14,14,100.0%,13,9,69.2%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,13,100.0%,13,11,84.6%,13,11,84.6%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,10,76.9%,13,6,46.2%,13,10,76.9%,13,8,61.5%,13,9,69.2%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,12,92.3%,13,11,84.6%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,13,100.0%,13,13,100.0%,13,13,100.0%,13,10,76.9%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,12,92.3%,13,11,84.6%,13,13,100.0%,13,13,100.0%,13,11,84.6%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,13,100.0%,13,12,92.3%,15,15,100.0%,13,9,69.2%,13,8,61.5%,13,7,53.8%
RWG,West Hertfordshire Hospitals NHS Trust,19,14,73.7%,19,17,89.5%,19,15,78.9%,19,14,73.7%,19,16,84.2%,19,16,84.2%,19,16,84.2%,19,16,84.2%,19,15,78.9%,19,16,84.2%,19,16,84.2%,19,15,78.9%,19,15,78.9%,19,13,68.4%,19,15,78.9%,19,15,78.9%,19,12,63.2%,19,14,73.7%,19,15,78.9%,19,14,73.7%,19,13,68.4%,19,12,63.2%,19,15,78.9%,19,14,73.7%,19,14,73.7%,19,13,68.4%,19,13,68.4%,19,13,68.4%,19,13,68.4%,19,14,73.7%,19,13,68.4%,19,15,78.9%,19,14,73.7%,19,13,68.4%,19,14,73.7%,19,15,78.9%,19,16,84.2%,19,17,89.5%,19,17,89.5%,19,13,68.4%,19,13,68.4%,19,13,68.4%,19,16,84.2%,19,16,84.2%,19,16,84.2%,19,16,84.2%,19,17,89.5%,19,16,84.2%,19,16,84.2%,19,14,73.7%,19,16,84.2%,19,14,73.7%,19,13,68.4%,19,15,78.9%,19,15,78.9%,19,16,84.2%,19,16,84.2%,19,13,68.4%,19,13,68.4%,19,16,84.2%,19,15,78.9%,19,15,78.9%,19,15,78.9%,19,18,94.7%,19,16,84.2%,19,15,78.9%,19,15,78.9%,19,14,73.7%,19,12,63.2%,19,15,78.9%,19,16,84.2%,19,14,73.7%,19,14,73.7%,19,16,84.2%,19,16,84.2%,19,15,78.9%,19,15,78.9%,19,16,84.2%,19,16,84.2%,19,15,78.9%,19,16,84.2%,19,15,78.9%,19,15,78.9%,19,16,84.2%,19,17,89.5%,19,15,78.9%,19,16,84.2%,19,14,73.7%,19,15,78.9%,19,14,73.7%,19,15,78.9%
RGR,West Suffolk NHS Foundation Trust,9,3,33.3%,9,4,44.4%,9,3,33.3%,9,4,44.4%,9,4,44.4%,9,3,33.3%,9,3,33.3%,9,6,66.7%,9,6,66.7%,9,6,66.7%,9,5,55.6%,9,5,55.6%,9,6,66.7%,9,6,66.7%,9,4,44.4%,9,4,44.4%,9,4,44.4%,9,6,66.7%,9,4,44.4%,9,3,33.3%,9,5,55.6%,9,4,44.4%,9,6,66.7%,9,6,66.7%,9,7,77.8%,9,8,88.9%,10,10,100.0%,9,9,100.0%,9,9,100.0%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,4,44.4%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,5,55.6%,9,5,55.6%,9,4,44.4%,9,4,44.4%,9,6,66.7%,9,8,88.9%,9,6,66.7%,9,5,55.6%,9,7,77.8%,9,7,77.8%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,6,66.7%,9,5,55.6%,9,6,66.7%,9,6,66.7%,9,8,88.9%,9,7,77.8%,9,5,55.6%,9,6,66.7%,9,4,44.4%,9,5,55.6%,9,5,55.6%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,8,88.9%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,7,77.8%,9,6,66.7%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,7,77.8%,9,6,66.7%,9,5,55.6%,9,5,55.6%,9,5,55.6%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,6,66.7%,9,9,100.0%
RWP,Worcestershire Acute Hospitals NHS Trust,26,26,100.0%,26,22,84.6%,26,22,84.6%,26,22,84.6%,26,22,84.6%,26,21,80.8%,26,24,92.3%,26,25,96.2%,26,25,96.2%,26,25,96.2%,26,24,92.3%,26,20,76.9%,26,25,96.2%,26,21,80.8%,26,23,88.5%,26,23,88.5%,26,24,92.3%,26,21,80.8%,26,24,92.3%,26,23,88.5%,26,25,96.2%,26,23,88.5%,26,18,69.2%,26,23,88.5%,26,25,96.2%,26,23,88.5%,26,24,92.3%,26,25,96.2%,26,26,100.0%,26,25,96.2%,26,24,92.3%,26,23,88.5%,26,24,92.3%,26,24,92.3%,26,25,96.2%,26,24,92.3%,26,24,92.3%,26,23,88.5%,26,22,84.6%,26,25,96.2%,26,24,92.3%,26,23,88.5%,26,24,92.3%,26,24,92.3%,26,22,84.6%,26,21,80.8%,26,19,73.1%,26,23,88.5%,26,24,92.3%,26,24,92.3%,26,26,100.0%,26,24,92.3%,26,24,92.3%,26,24,92.3%,26,24,92.3%,26,23,88.5%,26,25,96.2%,26,24,92.3%,26,23,88.5%,26,22,84.6%,26,22,84.6%,26,24,92.3%,26,26,100.0%,26,25,96.2%,26,24,92.3%,26,23,88.5%,26,23,88.5%,26,23,88.5%,26,23,88.5%,26,24,92.3%,26,24,92.3%,26,23,88.5%,26,24,92.3%,29,28,96.6%,29,25,86.2%,29,26,89.7%,29,27,93.1%,29,28,96.6%,29,28,96.6%,29,27,93.1%,29,27,93.1%,29,25,86.2%,29,27,93.1%,29,27,93.1%,29,27,93.1%,29,27,93.1%,29,28,96.6%,29,27,93.1%,29,24,82.8%,29,23,79.3%,29,25,86.2%
RLQ,Wye Valley NHS Trust,6,6,100.0%,8,8,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,6,6,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,6,6,100.0%,6,5,83.3%,6,5,83.3%,6,5,83.3%,6,5,83.3%,6,6,100.0%,7,7,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,4,66.7%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,6,100.0%,6,4,66.7%,6,5,83.3%,6,5,83.3%,6,6,100.0%,6,6,100.0%,6,4,66.7%,6,5,83.3%,6,5,83.3%,6,6,100.0%,6,5,83.3%
REM,Aintree University Hospital NHS Foundation Trust,23,18,78.3%,23,16,69.6%,23,18,78.3%,23,18,78.3%,23,18,78.3%,23,16,69.6%,23,19,82.6%,23,17,73.9%,23,15,65.2%,23,19,82.6%,23,15,65.2%,23,18,78.3%,23,17,73.9%,23,17,73.9%,23,15,65.2%,23,16,69.6%,23,15,65.2%,23,15,65.2%,23,17,73.9%,23,17,73.9%,23,18,78.3%,23,18,78.3%,23,18,78.3%,23,16,69.6%,23,16,69.6%,23,16,69.6%,23,16,69.6%,23,17,73.9%,23,17,73.9%,23,23,100.0%,23,17,73.9%,23,18,78.3%,23,18,78.3%,23,19,82.6%,23,19,82.6%,23,17,73.9%,23,20,87.0%,23,23,100.0%,23,16,69.6%,23,20,87.0%,23,20,87.0%,23,18,78.3%,23,18,78.3%,23,23,100.0%,23,23,100.0%,23,18,78.3%,23,21,91.3%,23,18,78.3%,23,17,73.9%,23,20,87.0%,23,20,87.0%,23,18,78.3%,23,19,82.6%,23,19,82.6%,23,16,69.6%,23,17,73.9%,23,18,78.3%,23,19,82.6%,23,20,87.0%,23,19,82.6%,23,21,91.3%,23,19,82.6%,23,15,65.2%,23,18,78.3%,23,16,69.6%,23,20,87.0%,23,17,73.9%,23,19,82.6%,23,18,78.3%,23,19,82.6%,23,22,95.7%,23,16,69.6%,23,20,87.0%,23,19,82.6%,23,18,78.3%,23,14,60.9%,23,16,69.6%,23,18,78.3%,23,18,78.3%,23,18,78.3%,23,20,87.0%,23,16,69.6%,23,14,60.9%,23,14,60.9%,23,14,60.9%,23,16,69.6%,23,11,47.8%,23,11,47.8%,23,15,65.2%,23,16,69.6%,23,14,60.9%
RCF,Airedale NHS Foundation Trust,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,6,85.7%,7,4,57.1%,7,4,57.1%,7,4,57.1%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,5,71.4%,7,5,71.4%,7,5,71.4%,7,4,57.1%,7,4,57.1%,7,5,71.4%,7,7,100.0%,7,7,100.0%,7,5,71.4%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,4,57.1%,7,5,71.4%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,7,100.0%,7,5,71.4%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,4,57.1%,7,5,71.4%,7,6,85.7%,7,4,57.1%,7,6,85.7%,7,7,100.0%,7,5,71.4%,7,5,71.4%,7,5,71.4%,7,7,100.0%,7,7,100.0%,7,5,71.4%,7,5,71.4%,7,6,85.7%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,6,85.7%,7,7,100.0%,7,7,100.0%,7,6,85.7%,7,3,42.9%,7,5,71.4%,7,6,85.7%,7,6,85.7%,7,6,85.7%,7,6,85.7%,7,7,100.0%,7,6,85.7%,7,6,85.7%
RBS,Alder Hey Children's NHS Foundation Trust,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
RFF,Barnsley Hospital NHS Foundation Trust,11,8,72.7%,11,10,90.9%,11,10,90.9%,11,11,100.0%,11,8,72.7%,11,4,36.4%,11,8,72.7%,11,10,90.9%,0,0,-,11,7,63.6%,11,6,54.5%,11,7,63.6%,11,5,45.5%,11,5,45.5%,11,7,63.6%,11,7,63.6%,11,9,81.8%,11,11,100.0%,11,7,63.6%,11,8,72.7%,11,9,81.8%,11,6,54.5%,11,9,81.8%,11,9,81.8%,11,10,90.9%,11,9,81.8%,11,8,72.7%,11,11,100.0%,11,11,100.0%,11,10,90.9%,11,11,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,0,0,-,11,10,90.9%,11,10,90.9%,11,11,100.0%,11,10,90.9%,11,10,90.9%,11,9,81.8%,11,8,72.7%,11,11,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,11,8,72.7%,11,7,63.6%,11,8,72.7%,11,9,81.8%,11,6,54.5%,11,11,100.0%,11,11,100.0%,11,10,90.9%,11,8,72.7%,11,7,63.6%,11,8,72.7%,11,7,63.6%,11,11,100.0%,11,10,90.9%,11,10,90.9%,11,11,100.0%,11,10,90.9%,11,9,81.8%,11,11,100.0%,11,11,100.0%,11,6,54.5%,11,8,72.7%,11,8,72.7%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,8,72.7%,11,9,81.8%,11,10,90.9%,11,8,72.7%,11,10,90.9%,11,8,72.7%,11,9,81.8%,11,10,90.9%,11,9,81.8%,11,9,81.8%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,10,90.9%
